,compound0,compound1,similarity
483,DB00181,DB00555,0.2439
484,DB00181,DB00557,0.4035
485,DB00181,DB00559,0.1892
486,DB00181,DB00564,0.3111
487,DB00181,DB00571,0.3043
488,DB00181,DB00575,0.2308
489,DB00181,DB00582,0.2037
490,DB00181,DB00586,0.4176
491,DB00181,DB00590,0.1805
492,DB00181,DB00593,0.125
493,DB00181,DB00596,0.1905
494,DB00181,DB00598,0.381
495,DB00181,DB00603,0.1053
496,DB00181,DB00605,0.3178
497,DB00181,DB00608,0.32
498,DB00181,DB00612,0.2745
499,DB00181,DB00619,0.1918
500,DB00181,DB00621,0.0606
501,DB00181,DB00622,0.2222
502,DB00181,DB00623,0.2097
503,DB00181,DB00627,0.3492
504,DB00181,DB00630,0.1667
505,DB00181,DB00631,0.172
506,DB00181,DB00632,0.0571
507,DB00181,DB00642,0.3226
508,DB00181,DB00648,0.4545
509,DB00181,DB00656,0.2632
510,DB00181,DB00659,0.1818
511,DB00181,DB00661,0.2016
512,DB00181,DB00669,0.2366
513,DB00181,DB00672,0.5
514,DB00181,DB00673,0.2
515,DB00181,DB00678,0.24
516,DB00181,DB00683,0.2692
517,DB00181,DB00690,0.2982
518,DB00181,DB00695,0.3368
519,DB00181,DB00697,0.1882
520,DB00181,DB00700,0.0984
521,DB00181,DB00708,0.2414
522,DB00181,DB00710,0.093
523,DB00181,DB00712,0.4091
524,DB00181,DB00718,0.1538
525,DB00181,DB00724,0.2472
526,DB00181,DB00726,0.2574
527,DB00181,DB00727,0.1039
528,DB00181,DB00731,0.2745
529,DB00181,DB00734,0.16
530,DB00181,DB00736,0.1905
531,DB00181,DB00737,0.35
532,DB00181,DB00740,0.2025
533,DB00181,DB00742,0.1176
534,DB00181,DB00745,0.3696
535,DB00181,DB00746,0.1103
536,DB00181,DB00747,0.2772
537,DB00181,DB00749,0.3093
538,DB00181,DB00753,0.0645
539,DB00181,DB00761,0.0
540,DB00181,DB00763,0.1053
541,DB00181,DB00776,0.3043
542,DB00181,DB00780,0.2985
543,DB00181,DB00784,0.3409
544,DB00181,DB00787,0.1928
545,DB00181,DB00794,0.241
546,DB00181,DB00796,0.2537
547,DB00181,DB00798,0.0472
548,DB00181,DB00799,0.2569
549,DB00181,DB00802,0.2114
550,DB00181,DB00804,0.099
551,DB00181,DB00806,0.1739
552,DB00181,DB00808,0.3077
553,DB00181,DB00809,0.3673
554,DB00181,DB00813,0.2703
555,DB00181,DB00818,0.25
556,DB00181,DB00819,0.1667
557,DB00181,DB00820,0.1803
558,DB00181,DB00822,0.075
559,DB00181,DB00829,0.3158
560,DB00181,DB00836,0.3259
561,DB00181,DB00841,0.28
562,DB00181,DB00842,0.3368
563,DB00181,DB00843,0.1849
564,DB00181,DB00850,0.2906
565,DB00181,DB00853,0.1842
566,DB00181,DB00861,0.3448
567,DB00181,DB00862,0.1504
568,DB00181,DB00864,0.0725
569,DB00181,DB00869,0.1364
570,DB00181,DB00877,0.093
571,DB00181,DB00879,0.1707
572,DB00181,DB00880,0.2169
573,DB00181,DB00884,0.2195
574,DB00181,DB00887,0.2991
575,DB00181,DB00889,0.2115
576,DB00181,DB00897,0.2692
577,DB00181,DB00903,0.3636
578,DB00181,DB00904,0.198
579,DB00181,DB00905,0.2276
580,DB00181,DB00909,0.2857
581,DB00181,DB00910,0.0667
582,DB00181,DB00915,0.0286
583,DB00181,DB00916,0.2
584,DB00181,DB00918,0.2136
585,DB00181,DB00920,0.1961
586,DB00181,DB00924,0.2424
587,DB00181,DB00934,0.24
588,DB00181,DB00938,0.256
589,DB00181,DB00945,0.3562
590,DB00181,DB00947,0.1447
591,DB00181,DB00950,0.2937
592,DB00181,DB00951,0.3333
593,DB00181,DB00952,0.2136
594,DB00181,DB00953,0.2083
595,DB00181,DB00958,0.0857
596,DB00181,DB00960,0.2921
597,DB00181,DB00962,0.2524
598,DB00181,DB00966,0.2267
599,DB00181,DB00967,0.2524
600,DB00181,DB00969,0.198
601,DB00181,DB00970,0.0791
602,DB00181,DB00972,0.3103
603,DB00181,DB00973,0.2927
604,DB00181,DB00975,0.0704
605,DB00181,DB00983,0.3148
606,DB00181,DB00990,0.1212
607,DB00181,DB00991,0.3529
608,DB00181,DB00993,0.1304
609,DB00181,DB00996,0.2817
610,DB00181,DB00998,0.2472
611,DB00181,DB00999,0.1928
612,DB00181,DB01001,0.3133
613,DB00181,DB01003,0.2707
614,DB00181,DB01004,0.2045
615,DB00181,DB01005,0.2041
616,DB00181,DB01006,0.2745
617,DB00181,DB01007,0.3077
618,DB00181,DB01008,0.0811
619,DB00181,DB01009,0.3736
620,DB00181,DB01016,0.2901
621,DB00181,DB01019,0.1846
622,DB00181,DB01020,0.0541
623,DB00181,DB01023,0.2476
624,DB00181,DB01029,0.197
625,DB00181,DB01032,0.382
626,DB00181,DB01033,0.1194
627,DB00181,DB01035,0.3765
628,DB00181,DB01039,0.3774
629,DB00181,DB01041,0.1978
630,DB00181,DB01042,0.4444
631,DB00181,DB01043,0.027
632,DB00181,DB01044,0.1607
633,DB00181,DB01045,0.1015
634,DB00181,DB01048,0.1633
635,DB00181,DB01050,0.5128
636,DB00181,DB01059,0.2157
637,DB00181,DB01062,0.2321
638,DB00181,DB01067,0.2381
639,DB00181,DB01068,0.26
640,DB00181,DB01069,0.2526
641,DB00181,DB01072,0.191
642,DB00181,DB01077,0.0635
